,직무명,회사명,위치,조건텍스트
122,워크라이프 서비스 풀스택 개발자,핀포인트,서울.한국,"WORK SPHERE MATTERS.

핀포인트는 완벽한 work-sphere를 제공하는 프롭테크(Property Tech) 기업입니다. 시대 요구에 맞게 공간을 디자인하고 첨단 기술을 더하여 지금 시대의 주역이 더 나은 환경에서 꿈에 도전할 수 있도록 돕습니다. 국내 1위 부동산 운용사인 이지스 자산운용과 함께 공간 사용자, 프롭테크 솔루션 기업, 부동산 전문 개발사 등 다양한 이해관계자들이 참여하는 공간 생태계를 구축해 나갑니다. 


- 2019년 신설 스타트업 법인 수 10만 8,874개.
- 2017년 국내 스타트업/중소기업은 총 630만 개로 99.9% 차지, 근무 임직원은 1,599만 명으로 82.9% 비중.
- 지난 10년 간 정보통신/서비스업 위주로 산업 구조가 개편되며 기업의 규모는 축소 중

시대의 흐름은 중소 사이즈의 기업으로 재편되고 있습니다. 하지만 오피스 시장에서 중소 기업이 입주하고 있는 중소형 빌딩은 여전히 대형 오피스에 비해 외면받고 있습니다. 핀포인트 플랫폼은 중소형 오피스 개별 조건에 따라 적합한 서비스와 필요한 솔루션을 맞춤으로 제공하여 더 효율적으로 일하고 더 즐겁게 생활할 수 있는 완벽한 work-sphere을 조성합니다.

* 핀포인트 플랫폼 제공 솔루션
  ① 오피스 시설/인프라 관리 서비스 : 모바일로 각종 건물 시설물에 접근, 관리  
  ② 워크라이프 서비스 : 호텔처럼 친절하고 여행같이 즐거운 오피스 생활
  ③ 디지털 자산 관리 솔루션 : 임대 및 공실 등의 관리는 디지털로 수행
  ④ 오피스 공간 기획 및 개발 : 빠르게 변하는 시대 요구에 맞는 공간 디자인

* 핀포인트 관리/운영 자산
  ① 신도림 핀포인트 타워
  ② 가로수길 와이플러스 빌딩
  ③ 성수 오피스(2023 준공 예정)



#수평적조직 #스타트업 #자율복장 #워크샵 #교육비 #직무교육 #세미나참가비 #컨퍼런스참가비 #자기계발 #도서구매비 #스터디지원 #맥프로 #반려동물
주요업무
• 중소형 오피스 입주민 대상 오피스 라이프 모바일 Front End 웹 페이지 /Back End 개발 
• MVP 개발 기획
 - PM, 디자이너와 함께 정의된 고객의 문제를 해결하는 최적의 MVP 구현
• 단계 별 서비스 성장에 따른 개발 방향성 수립
자격요건
• 풀스택 개발 경력 3 ~ 10 년
• Zero to One 경험이 있으신 분
• 다양한 오픈 솔루션, 기존의 서비스를 활용하여 빠르게 MVP 개발이 가능하신 분
우대사항
• 각종 데이터 분석 툴 사용 가능
• 스타트업 창업 경험
• 초기 기업에서 성과를 만드신 경험
• 정답을 맞추기보다는 정답을 증명하고 만드실 수 있는 분
• 시작 단계에서 팀원과 합심하여 고객 가치를 창출하고 싶으신 분
• 실수/실패를 두려워하지 않고 자신의 잘못을 인정할 수 있는 용기와 맡은 업무를 완수해내는 책임감
• 팀의 위대함을 알고 훌륭한 협업을 할 수 있는 커뮤니케이션 스킬 보유
혜택 및 복지
• 동종 업계 대비 상위 수준 연봉 보장
• 시작하는 단계에서 다양한 업무 기회 제공 (현재 팀원 7명, 22년 상반기 30명 채용 예정)
• 점심 식사 지원
• 가로수길 대로변 사무실 위치
• 자유로운 출퇴근 시간
• 자유로운 연차 사용
• 300만원 한도 원하는 디바이스 구매 (맥, 노트북, 모니터, 모니터암, 키보드, 마우스 등)
• 수평적 분위기 ('님' 호칭 사용)
• 도서구매비/자기계발비/직무교육 등 월별 15만원 지원


[채용절차]
• 서류전형 → 실무 면접 → 경영진 면접 → 처우협의 → 최종합격."
123,Reactjs 프론트 개발자,플렉스이엔엠,서울.한국,"플렉스이엔엠은 인터넷방송 서비스인 플렉스티비를 서비스하고 있습니다. 해당 서비스의 이용자가 늘어나고 있어, 각 분야의 팀원분들을  충원하고자 합니다.

[근무시간]
오전10시~오후19시

고용형태 : 정규직 -수습기간3개월

[전형절차]
서류전형 -＞ 면접전형 -＞ 최종합격
**서류제출 시 자기소개서 첨부하여 주시길 바랍니다.


[회사위치]
서울 3호선 신사역 4번출구에서 200m 이내
주요업무
● Reactjs 프론트 개발 및 운영
● jQuery 및 바나나 스크립트 운영
자격요건
● Next.js SSR 기반의 기술 경험자
● Node.js 서버 경험 우대
혜택 및 복지
ㆍ연금/보험 : 국민연금, 고용보험, 산재보험, 건강보험
ㆍ휴무/휴가행사 : 주 5일 근무, 경조휴가, 노동절 휴무
ㆍ보상/수당/지원 : 인센티브제, 자기계발비 지원, 연월차수당, 명절 귀향비 지급, 휴가비 지원
ㆍ교육/연수 : 신입사원 교육(OJT)
ㆍ사내시설, 장애인 지원 : 카페테리아
ㆍ생활편의/ 여가행사 : 건강검진, 중식제공"
124,"응용소프트웨어 개발자, C/C++ 개발자 (신입)",비드박스,서울.한국,"멀티미디어 전문 솔루션 기업 비드박스는 윈도우 응용프로그램 개발및 유지보수 할 개발자를 모집합니다.
주요업무
• 응용프로그램 개발및 유지보수
자격요건
• C/C++을 사용한 응용프로그램 개발 경험이 있으신 분 
• 커뮤니케이션 능력이 좋으신 분 
• C/C++ 소스코드 분석및 응용 능력 (중급 이상)
• 기업부설연구소 전문연구원 자격 조건 충족하시는 분
우대사항
• MFC 및 Win32 API로 어플리케이션 개발 경험이 있으신 분
• 오픈 소스(FFMPEG, OpenGL) 활용 경험이 있으신 분
혜택 및 복지
• 4대보험, 퇴직연금
• 주5일 근무, 탄력근무제, 월차, 연차, 반차, 경조 휴가, 휴일근무수당
• 업무 관련 도서구입비 지원.
• 중식, 간식, 석식 제공
• 미국본사 연수 기회"
125,"응용소프트웨어 개발자, C/C++ 개발자",비드박스,서울.한국,"멀티미디어 전문 솔루션 기업 비드박스는 윈도우 응용프로그램 개발 및 유지보수 할 개발자를 모집합니다.
주요업무
• 윈도우 응용프로그램 개발 및 유지보수
자격요건
• C/C++을 사용한 응용프로그램 개발 경험이 있으신 분 
• 커뮤니케이션 능력이 좋으신 분 
• C/C++ 소스 코드 분석 및 응용 능력 (중. 상급 이상)
• 기업부설연구소 전문연구원 자격 조건 충족하시는 분
우대사항
• MFC 및 Win32 API로 어플리케이션 개발 경험이 있으신 분
• 오픈 소스(FFMPEG, OpenGL) 활용 경험이 있으신 분
혜택 및 복지
• 4대보험, 퇴직연금
• 주5일 근무, 탄력근무제, 월차, 연차, 반차, 경조 휴가, 휴일근무수당
• 업무 관련 도서구입비 지원
• 중식, 간식, 석식 제공
• 미국본사 연수 기회"
126,ARKit iOS 앱 개발자,피니뷰,서울.한국,"피니뷰는 현실의 모든 공간과 사물을 촬영으로 데이터화하여 어떤 관점에서도 편집 가능한 실사뷰를 제공하기 위해 피니뷰와 함께 성장할 인재 여러분들을 모집합니다. 

피니뷰는 동우이앤씨(400명규모)의 계열사로서
현실의 모든 공간과 사물을 Recreate 3D 촬영기술 기반으로 패션, 엔터테인먼트,이커머스, 마케팅, 인레티어, 제조업 분야에서 누구나 쉽게 사용할 수 있는 3D 서비스를 제공합니다.

그룹 대표이사님의 전폭적인 투자확대로 안정성과 동시에
설립 1년만에 20명이상의 개발자 확보, 2023년 100명 충원계획이며,
신기술 인정을 받아 폭발적인 성장이 예상되는 스타트기업입니다.

이에 미래를 함께 하실 유능한 인재를 모집하고자 합니다.
적극적인  지원부탁드립니다.
주요업무
• ARKit을 이용한 Service 개발업무
자격요건
• iOS 실무 개발 및 배포 경력이 3년 이상임
• ArKit으로 개발 경력을 보유하신 분(필수)
우대사항
[우대사항]
ㆍ3D모델링과 인공지능(Deep Learning, Machine Learning)에 이해도가 있으신분
ㆍ모바일(ios) 플랫폼에 대한 이해와 개발 경험

[직위/연봉]
ㆍ선임연구원~책임연구원
ㆍ면접 후 개별협상(이전연봉 고려 +@)
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 복지몰운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 야근없는문화 : 정시퇴근!
• 휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
127,시스템기획자,피니뷰,서울.한국,"피니뷰는 현실의 모든 공간과 사물을 촬영으로 데이터화하여 어떤 관점에서도 편집가능한 실사뷰를 제공하는 피니뷰와 함께 성장할 인재 여러분들을 모집합니다.

피니뷰는 동우이앤씨(400인 사업장)의 계열사로서
현실의 모든 공간과 사물을 Recreate 3D 촬영기술 기반으로 패션, 엔터테인먼트, 이커머스, 마케팅, 인테리어, 제조업 분야에서 누구나 쉽게 사용할 수 있는 3D서비스를 제공합니다.

그룹 대표이사님의 전폭적인 투자확대로 재무안정성과 동시에
설립1년만에 20명이상의 개발자 확보, 2023년 100명의 인원을 충원할 계획이며,
신기술을 인정받아 폭발적인 성장이 예상되는 스타트 기업입니다.

이에 미래를 함께 하실 유능한 인재를 모집하기에
적극적인 관심과 지원을 부탁드립니다.
주요업무
• 피니뷰 3D서비스 기반 시스템 기획
• 요구사항, 서비스 방향성에 따라 신규 기능 구축 및 플랫폼 고도화 계획 수립, 실행
• 지속적인 시스템 개선 진행
• 신규 및 기존 서비스의 백오피스 개선 및 신규 기능 기획
자격요건
• 3D 또는 IT 서비스 업계 경력 3년이상이신분
• 추상화된 디렉션을 새로운 시스템으로 설계하고 조율하는 능력
• 다양한 시스템/컨텐츠를 포괄적으로 바라보면서 조율하여 기획하는 능력
• 확장성과 범용성을 고려하여 시스템 설계하는 능력
• 새로운 기술에 대한 호기심과 즐겁게 일하실 분
• 최고의 서비스를 지향하며 적극적으로 협력제휴사 및 동료들과 커뮤니케이션할 수 있는 분
우대사항
[우대사항]
• 3D 업계 경력 3년이상이신분
• 시스템개발 경력이 있으신 분
• 포트폴리오 필수

[직위/연봉]
• 선임연구원~책임연구원
• 기존연봉고려 +@
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 휴게실, 회의실, 공기청정기, 스마트기기, 최신 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 복지몰운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 야근없는문화 : 정시퇴근
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
128,개발본부 SM팀 팀장급(5~10년 내외),코디더매니저,서울.한국,"코디더매니저는 호텔 IT솔루션 전문 개발.서비스 회사입니다. 
다양한 호텔 솔루션을 런칭하였으며, 약 150여 호텔에 서비스 중입니다. 
사세 확장에 따른 개발 SM팀(유지보수) 팀장분을 채용하고자 합니다. 

기존 솔루션 유지보수 외에 신규 개발업무의 기회도 있으므로 관심있는 분들의 많은 지원 바랍니다.
주요업무
• 솔루션 유지보수팀 팀장 역할
• 업무방식 체계화, 조직원(3명) 리딩
자격요건
• 개발 경력 약 5~10년 내외 유경험자(경력은 유연하게 반영합니다.)
• JAVA, C##
우대사항
• 정보처리기사 자격 보유자
• 해당 업무 유경험자
혜택 및 복지
• 출퇴근 : 출퇴근 유연제 : 09:00~18:00, 10:00~19:00 선택근무 
* 수평적 조직문화(영어이름 00님), 자유로운 연차사용
* 노트북지급, 자유복장, 건강검진, 각종 경조사 지원, 
* 퇴직연금, 퇴직금, 당직수당, 4대 보험
* 명절선물, 생일축하금/파티, 생일자 조기퇴근
* 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 교육비 지원, 점심식사 제공, 음료제공(차, 커피), 컨퍼런스 개최
*근무 환경 : 회의실, 공기청정기, 노트북, 자회사 제품할인, 협력호텔 할인권, 사무용품 지급
* 회식강요 안함, 야근강요 안함, 자유복장, 경조휴가제, 반차, 대체휴무일 휴무
•"
129,ARCore 안드로이드 앱개발자,피니뷰,서울.한국,"피니뷰는 현실의 모든 공간과 사물을 촬영으로 데이터화하여 어떤 관점에서도 편집가능한 실사뷰를 제공하는 피니뷰와 함께 성장할 인재 여러분들을 모집합니다.

피니뷰는 동우이앤씨(400인 사업장)의 계열사로서
현실의 모든 공간과 사물을 Recreate 3D 촬영기술 기반으로 패션, 엔터테인먼트, 이커머스, 마케팅, 인테리어, 제조업 분야에서 누구나 쉽게 사용할 수 있는 3D서비스를 제공합니다.

그룹 대표이사님의 전폭적인 투자확대로 재무안정성과 동시에
설립1년만에 20명이상의 개발자 확보, 2023년 100명의 인원을 충원할 계획이며,
신기술을 인정받아 폭발적인 성장이 예상되는 스타트 기업입니다.

이에 미래를 함께 하실 유능한 인재를 모집하기에
적극적인 관심과 지원을 부탁드립니다.
주요업무
• ARCore를 이용한 Service 개발업무
자격요건
• 안드로이드 실무 개발 및 배포 경력이 3년 이상
• ARCore로 개발 경력을 보유하신 분(필수)
우대사항
[우대사항]
ㆍ3D모델링과 인공지능(Deep Learning, Machine Learning)에 이해도가 있으신분
ㆍAR관련 모바일(Android) 플랫폼에 대한 이해와 개발 경험

[직위/연봉]
ㆍ선임연구원~책임연구원
ㆍ면접 후 개별협상(이전연봉 고려 +@)
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 복지몰운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
130,Backend Server 개발자( 5년이상),피니뷰,서울.한국,"피니뷰는 현실의 모든 공간과 사물을 촬영으로 데이터화하여 어떤 관점에서도 편집 가능한 실사뷰를 제공하기 위해 피니뷰와 함께 성장할 인재 여러분들을 모집합니다. 

피니뷰는 동우이앤씨(400명규모)의 계열사로서
현실의 모든 공간과 사물을 Recreate 3D 촬영기술 기반으로 패션, 엔터테인먼트,이커머스, 마케팅, 인레티어, 제조업 분야에서 누구나 쉽게 사용할 수 있는 3D 서비스를 제공합니다.

그룹 대표이사님의 전폭적인 투자확대로 안정성과 동시에
설립 1년만에 20명이상의 개발자 확보, 2023년 100명 충원계획이며,
신기술 인정을 받아 폭발적인 성장이 예상되는 스타트기업입니다.

이에 미래를 함께 하실 유능한 인재를 모집하고자 합니다.
적극적인  지원부탁드립니다.
주요업무
[주요업무]
ㆍ Backend Server 개발

[채용절차]
ㆍ 서류전형-1차면접-최종합격
자격요건
• Java, Spring Framework 경험
• AWS Cloud 경험
우대사항
[우대사항]
ㆍ Spring Boot, Message Queue경험
ㆍ 소프트웨어 등 IT 전공자 선호
• 5년이상~12년 경험자
[직위/연봉]
ㆍ선임연구원~책임연구원
ㆍ면접 후 개별협상(이전연봉 고려 +@)
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 복지포인트운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
131,Product Development Manager (제품 기획 매니저),노을(Noul),경기.한국,"바이오스타트업 노을(noul)에서 제품 기획 매니저(Product Development Manager)를 채용합니다. 노을은 인류의 건강과 생명을 위협하는 도전적인 문제를 혁신적인 솔루션을 통해 해결하고자 설립되었으며, 말라리아, 혈액검사, 암진단 등 여러 질병을 실험실이나 인프라 없이 신속하고 정확하게 진단할 수 있는 독창적인 진단 플랫폼을 개발하고 있습니다. 역동적으로 성장해가는 노을에서 제품 기획 매니저(Product  Development Manager)로서 사명감과 실력을 갖춘 인재의 지원을 기다립니다.
주요업무
노을의 혁신기술인 암 진단기기 제품의 기획 및 프로젝트 관리
[지사 관리] 북미, 유럽 지사 개발진들과 협업
[제품 기획] 개발 의뢰, 타당성 보고, 제품 사양서 작성
[개발 계획] 임상/허가, 프로토타입, 데이터 분석, 엔지니어링/QA 스펙을 구체화
[개발 구현] 개발 업무/완료 및 검증, 유효성 확인 전반적인 일정 매니징
[양산 설계] 프로젝트 종료 이후 출하, 제품허가 진행에 필요한 절차 매니징
[출하] 세일즈, 마케팅 부서와 협업을 통한 본사와 시장 반응에 대한 조율
자격요건
- 영어 능통자 (Native)
- 3년 이상의 바이오/제약/기술개발/서비스/상품기획/프로젝트 관리 경력 
- 전략적 판단과 액션 플랜의 기획, 실행력
- 스타트업 환경 및 기술기반 스타트업에 대한 이해 
- 다양한 구성원들과 조화롭게 커뮤니케이션 할 수 있는 역량  
- 빠른 환경 변화에 적합한 결정을 할 수 있는 판단력과 사고력 
- 주도적으로 업무를 추진할수 있는 분 
- 도전 의식과 회복 탄력성이 높은 분 
- 잘 듣고 커뮤니케이션할 수 있는 기술이 있는 분 
- 근거를 가지고 이해관계자를 설득할 수 있는 분
우대사항
- ISO13485 (의료기기품질경영시스템, 이하 QMS)에 대한 이해 및 작성 가능하신 분
- 미국 출장(1개월~3개월)에 지장이 없으신 분
- 업무 경계를 구분하지 않고 맡은 제품에 대한 높은 책임감과 애정이 있으신 분
- 제품을 초기부터 제품을 기획하고 출시까지 진행한 성장/운영 사이클을 경험해 보신 분
혜택 및 복지
• 월별 복지포인트 부여
• 자기주도적이고 자율적으로 사고하고 행동할 수 있는 분위기
• 자율과 책임의 균형을 지향하는 근무제도 (출퇴근, 휴가 등)
• 업무 및 회사의 운영에 관한 다양한 참여 기회
• 점심 식사 전액 지원, 간식 지원
• 건강검진비
• 교통비, 통신비, 도서구입비 등 직간접 지원
• 경조비, 명절 선물 등

 

※전형절차

1차 서류접수 및 심사
2차 실무면접 (실무진): 경력관련 PT 면접
3차 인성면접 (임원진)
최종합격 발표"
132,쇼핑몰 개발/운영(JAVA 개발),아이마켓코리아,서울.한국,"2000년 B2B 전자상거래를 목적으로 설립된 아이마켓코리아는 전략구매 Know-how와 최고의 인재, 선진 IT 기술을 바탕으로 시스템 기반 B2B 구매 플랫폼을 영위해오고 있습니다.

동종 업계 최고 Sourcing / System / Service 경쟁력을 기반으로 코스피 상장, 매출 1000대기업(2018년 기준 매출액 2조 9천억원)의 국내 최고 산업자재 유통기업입니다.

Buyer 와 Supplier 에게 효율적인 구매 프로세스, 비용 절감, 신규시작 확대와 안전한 거래 프로세스를 제공하여 기업의 이익증대에 기여합니다.

아이마켓코리아는 자체 통합구매시스템(MP), WMS, ERP 등 다양한 시스템을 구축 및 연계하여 사용자에게 편리함과 효율적인 업무프로세스를 제공하고 있습니다.

기존 B2B사업에서 B2C 사업으로 확장해 나가고 있으며,  B2C사업 쇼핑몰의 시스템 리뉴얼 프로젝트(차세대)에 다양한 경험으로 당사의 미래를 함께할 인재를 찾고 있으니, 많은 지원 바랍니다.
주요업무
- Imarket 쇼핑몰 운영/개발
•  쇼핑몰 Front / 모바일 웹 운영 및 개발
•  쇼핑몰 공급사 SCM 운영 및 개발
•  쇼핑몰 관리자 사이트 운영 및 개발
자격요건
• 초대졸 이상
• WEB, JAVA, JSP 개발경력 5년이상
• ORACLE DB 사용 경험자
• 쇼핑몰 운영 개발 경력자
• 병역필 또는 면제자로 해외여행에 결격사유가 없는 사람
우대사항
• Spring framework 사용 경험자 우대
• 모바일웹 개발 경력자 우대
• 전산 전공자, 관련 자격증 소지자 우대
  (정보처리기사, 기술사, OCP 등)
혜택 및 복지
• Work & Life Balance 준수 (2018 노사문화 우수기업 선정,2019 국무총리상 수상)
• 시차 출근제도 운영 (① 08:00 ~ 17:00 ② 08:30 ~ 17:30 ③ 09:00 ~ 18:00)
• 건강 : 단체보험, 의료비 지원, 종합건강검진(배우자 격년), 구내식당 운영, 심리상담 프로그램 지원
• Refresh : 사내동호회, 장기근속 포상, 회사 휴양지(콘도/리조트), 문화생활 지원(공연할인), 복지포인트 지급
• 경조사 : 경조휴가 및 경조금, 상조서비스 지원
• 생활안정 : 자녀 학자금, 개인연금보험 , 명절 선물"
133,백엔드 개발자 (Back-end Developer),헥슬란트,서울.한국,"■ 백엔드 개발자 (Back-end Developer) ■

블록체인 기술에 대한 총체적인 파악 및 시스템 구축을 경험하고 배울 수 있습니다. 앞으로 성장 가능성이 큰 전통 금융권 내의디지털 가상자산(블록체인 기반 자산) 산업에서 독자적인 커리어를 쌓을 수 있는 기회를 제공합니다.개발자는 많을 수 있지만 잘하는 개발자는 부족한 시대, 헥슬란트는 여러분의 역량을 검증할  수 있고 새로운 산업에 도전할 수 있는 기회가 될 것입니다.
주요업무
■ 헥슬란트에서의 주요업무 ■ 

· 블록체인 인프라 서비스(Octet) - 백앤드 시스템 개발 
· 대용량 트래픽을 처리하는 서비스 인프라 구축
· 가상자산 보관 서비스 백앤드 개발
자격요건
· 고가용성의 확장 가능한 시스템 설계/운영 경험 있는 분
· 대규모의 실시간 트래픽을 처리하는 시스템 개발 경험 있는 분
· Node.js, Typescript 기반의 개발 경험 있는 분
· Mission-Critical 한 서비스 운영 환경을 즐기며 높은 책임감으로 탄탄한 서비스를 같이 만들어 갈 수 있는 분
·  성능최적화와 운영자동화를 위한 지속적인 노력을 하는 분
우대사항
· 블록체인 서비스 개발 및 서비스 경험
· 실패를 두려워하지 않고 빠르게 실행하고 효율을 분석하는 분
혜택 및 복지
· 듀얼 모니터, iMac 지급
· 스터디 모임 지원, 세미나 참가비 지원, 업무용 도서 구입비 지원
· 자유로운 연차 시스템
· 자율 출근제(오전 9시~오전 11시) 
· 종합 검진 제공, 경조사비, 4대 보험"
134,프론트엔드 개발자,이지스엔터프라이즈,서울.한국,"'이지스엔터프라이즈'는 공동주택/집합건문 통합관리업무솔루션 및 금융감독원에 등록된 전자금융 전문기업입니다.

2000년 창립이래 그동안 쌓아온 풍부한 노하우와 금융부문 네트워크를 바탕으로 입주민을 위한 온라인서비스, ICT(IoT)기반의 에너지 절약사업 등 언제나 한차원 높은 IT솔루션을 제공하고 있습니다.

전국의 공동주택/집합건물의 원활한 관리를 위한 통합관리업무솔루션을 전국 20,000여 단지에 제공하고 있으며, 약 1,000만 세대에 이르는 입주민 고객을 위하여 온-오프라인 및 모바일 금융서비스를 통해 편리한 관리비 수납업무를 제공하고 있습니다.

아울러, 빅데이터를 활용한 에너지절약을 통한 관리비 절감, 주거환경 개선을 위한 ICT(IoT)기반의 스마트 홈 토탈솔루션, 입주민 온라인/모바일 서비스를 통해 다양한 편의성과 가치향상을 위해 노력하고 있는 기업입니다.

이지스엔터프라이즈에서는 보다 나은 서비스를 제공하기 위해 함께 노력할 여러분을 기다리고 있습니다.
주요업무
• 아파트아이 프론트엔드 개발업무(Web, App)
자격요건
• 모바일 Native개발 및 웹개발 경험을 모두 보유하신 분
• 필수기술
- Web : java, asp, php, vue, react 등
- App(iOS) : swift
- App(Android) : java, flutter 등
우대사항
• 관련 전공자 우대
• 모바일플랫폼 서비스 런칭 및 운영 경험자 우대
혜택 및 복지
• 임직원 건강검진 지원 (본인 이외 배우자 및 직계가족 1인 포함)
• 임직원 의료비 지원 (본인 이외 배우자 및 직계가족)
• 장기근속휴가 및 포상금 지원
• 임직원 자기개발비 지원
• 식대지원 (페이코포인트 지급)"
135,Web 시스템 개발/운영,아이디에스앤트러스트,서울.한국,"[저희 회사를 소개합니다!]
아이디에스앤트러스트는 헬스케어 산업에 특화된 Total Healthcare 솔루션 구축 및 운영 전문 기업입니다.
1996년 설립된 대웅그룹 IT계열사로서 SAP ERP 컨설팅 및 유지보수(SAP GOLD PARTNER), IT Outsourcing 서비스, Smart Factory 솔루션, 그룹웨어 솔루션 공급 등 그 밖의 주요 사업을 통해 축적해온 경험과 역량을 바탕으로 신 사업과 대외사업을 확장하고 있습니다. 고객에게 최적의 상품과 서비스를 제공하는 전략적 파트너로서 고객과의 동반 성장을 지향하고 있습니다.
주요업무
[저희가 주로 하는 일은 이렇습니다!]
1) 기업 업무용 Web 프로그램 개발 및 운영
2) Java Front/Back End 개발 및 운영
3) ERP(SAP, 더존) 연동 I/F 개발 및 운영
자격요건
[저희는 이런 분을 찾고 있습니다!]
1) 기업용 Web 환경을 구축해보신 분
2) Java(Spring), JQuery, HTML5/CSS 개발 경력이 3년 이상이신 분
3) RDBMS, Linux 운용을 해보신 분
우대사항
[이런분이라면 적극환영!]
1) 제약 산업군 IT(전산) 경력이 있으신 분
2) 프로젝트 PL 이상 경험이 있으신 분
3) DB설계 경험이 있으시거나 가능하신 분
4) Git, Jenkins 사용 경험이 있으신 분
5) 전산 관련 전공을 하신 분
혜택 및 복지
● 조직문화
 • 수평적 조직문화 : 직급이 아닌 상호 간 '님'으로 호칭합니다.
 • 자유로운 연차사용 : 연차 사용 시 사유불문! 자유로운 연차 사용이 가능합니다.
 • 사내 식당에서 맛있는 중식/석식 제공해드립니다.
 • 식사 대신 간편식을 즐길 수 있습니다.

● 근무환경
 • 스마트 오피스 : 자율 좌석을 통해 스마트한 근무환경 제공합니다.
 • 사내 어린이집 : 육아 걱정없는 업무 몰입을 위해 사내 어린이집을 운영합니다.
 • 까페테리아  : 임직원 가격으로 할인된 가격에 음료를 제공해드립니다.
 • 안마 의자 및 캡슐룸 : 근무 중 피로 회복/휴식을 위한 시설을 제공해드립니다.

● 교육/생활
 • 신입사원교육(OJT)운영을 통해 원활한 적응을 도와드립니다.
 • 사내/외 교육, 사이버 연수원 등 교육비 지원 등 다방면으로 성장을 지원합니다.
 • 사내 동호회를 통해 친목을 도모합니다. 

● 지원금/보험
 • 종합건강검진
 • 경조금 지원 : 좋은 날엔 축하금을, 슬픈 날엔 위로금 지원합니다.
 • 임직원몰 : 사내 임직원몰 내 다양한 상품을 직원가에 구입이 가능합니다.
 • 자녀의 학자금을 지원해드립니다.
 
● 선물
 • 명절선물 : 다양한 품목 중 선택하여 상품을 지급해드립니다.
 • 생일자 조기퇴근제 : 생일 당사자 조기 퇴근이 가능합니다.
 • 장기근속제도 : 5/10/20년 장기 근무 시 포상금을 지급해드립니다."
