직무명,회사명,위치,자격요건,우대사항
파이썬(Python) / Django 백엔드 개발자(신입),핫셀러,서울.한국,"
• Python(Django, FastApi) 백엔드 언어 사용이 원활 하신 분
• 학습에 꾸준한 시간을 투자 하시는 분
• 새로운 것에 도전하는 것을 즐기시는 분
• 다양한 직군들과 원활한 커뮤니케이션이 가능하신 분
우대사항","
• 관련 학과 졸업자
• 관련 자격증 소지자
• 능숙한 협업 (및 협업 툴 사용)이 가능하신 분
• AWS 기반 서비스 개발 경험이 있으신 분
혜택 및 복지
• 매월 성과와 기여에 따른 전직원 성과급 지급
• 무제한 식대 - 금액 제한 없는 식사 제공
• 사내 스낵바 - 원하는 간식 제공
• 건강검진 - 1년 이상 근속 종합 건강검진 지원
• 코로나 마스크 - KF94 마스크 매일 지급
• 최고 성능 장비 - 데스크탑/MAC, 피벗 모니터 등 원하는 장비 제공
• 최고 강사초청 - 최고 수준 강사 및 권위자 초청 강의
• 자기개발 - 업무 관련 서적, 온/오프라인 강좌 전액 지원
• 생일파티 - 20~50만원 상당의 선물과 신나는 생일파티 주최
• 자유로운 연, 월차 사용 - 절대 눈치 주지 않는 휴가 문화
• 자유로운 분위기 - 직급을 초월한 의견 제시 가능
• 명절 조기 퇴근, 귀향비 - 스팸, 참치말고 돈이 최고
• 역 10초 컷 - 장한평역 3,4번 출구에서 10초 출근 가능
• 젊은 기업 - 꼰대 없는 20, 30대 멤버 구성
• 웰컴키트 지급 - 쓸모있는 알찬 구성
• 여름휴가 별도 제공 - 연, 월차와 별도의 휴가 제공
• 상비약 제공 - 아프지 말아요"
딥러닝 연구원,코그넥스코리아,서울.한국,"
[필수조건]
• Deep Learning 과제 또는 프로젝트 수행 경험
• PyTorch, TensorFlow 등 주요 Deep Learning 프레임워크 사용 능력

[전형절차]
• 서류심사 ＞ 전화면접 ＞ 1차 기술면접 ＞ 프로젝트 과제(7일 내외) ＞ 2차 기술면접 ＞ 최종 합격

[서류제출]
• 필수 1. 이력서(자유 서식): 학력, 경력 및 보유 스킬 중심

• 필수 2. 포트폴리오(자유 서식): Deep Learning 연구 유관 과제 또는 프로젝트 중심
 *각 과제/프로젝트 별 필수 서술 항목: 문제 정의, 데이터셋, 실험 방법론, 실험 결과 분석 등
우대사항","
• Deep Learning 유관 전공 석사 이상의 학위 또는 3년 이상의 유관 업무 경력
• Deep Learning 관련 메이저 저널 또는 컨퍼런스 논문 실적 
  (주저자, accept 기준)
• Kaggle 등의 Data Science Competition 참여 경험
• 이미지 인식(Image Recognition) 관련 연구 경험
• 산업 속 현실 문제들을 Deep Learning 문제로 재정의하고, 이를 해결하기 위한 방법론을 효과적으로 검증하기 위한 실험을 설계하는 능력
• LibTorch, LibTensorFlow, OpenCV 등의 C++ API 활용 능력
• 업무 관련 영어 회화/작문 능력
혜택 및 복지
• 근로관계 : 정규직
• 근무지 : 서울시 서초구 서초대로 38길 12 마제스타시티 타워2 6층(서초역 도보 5분)
• 근무시간 : 책임 속 자율 근로를 지향합니다.
• 급여 및 복지 : 회사 내규에 따름"
도그마스터 앱 개발,워키도기,서울.한국,"
• 앱 개발 관련 경력 3년 이상 (또는 그에 준하는 실력)
• 2년 이상의 React Native 또는 하이브리드 앱 개발 프레임워크 경험 (Ionic, Flutter...)
• Git을 사용한 능숙한 형상관리 능력
• React 상태 관리 라이브러리 (Redux, MobX 등) 사용 경험 혹은 RxJS 사용 경험
우대사항","
• 결제 모듈을 포함한 서비스 개발 및 운영해 보신 분
• UI/UX에 관심이 많고 고민을 좋아하시는 분
• 채팅 또는 챗봇 프론트엔드 개발 경험이 있으신 분
• 스타트업 경험이 있으신 분
• 비 개발자 직군과 원활히 소통하는 능력
• 새로운 기술에 관심이 많고, 자기 개발을 위해 노력하시는 분
• 생산성 향상을 위한 개발 방법론 관한 실험적 사고
혜택 및 복지
- 쾌적하고 자유로운 ""초"" 역세권 근무환경 (홍대역 1분 거리)
- 오전 9시 - 10시 30분 사이 자율 출퇴근 제도 (7.5시간 근무)
- 충분한 점심휴식 시간 (1시간 30분)
- 아침마다 신선한 원두로 만드는 커피 & 간식이 준비되어 있는 스낵바

- 듀얼 모니터 + 맥북 프로 제공
- 업무 효율을 높이는 각종 툴 최대한 제공
- 허락이 필요없는 자율적 연차 사용
- 반려동물 동반출근 가능

- 업무에 도움이 된다면 자유로운 세미나 참석 및 교육비 지원
- 도서구매비 지원
- 실력있는 동료들과의 코드리뷰


[근무조건] 
- 정규직 ( fit check 3개월)"
도그마스터 서버 개발,워키도기,서울.한국,"
• 서버 개발 및 경험 3년 이상 (또는 그에 준하는 실력)
• RDBMS 설계 능력 및 기본적인 SQL 작성 능력
• Java 및 Spring Framework (또는 전자정보 표준프레임워크) 개발 경험
• MVC framework 기반의 웹 서비스나 API 개발 경험
• 형상관리툴 또는 Gitflow 에 대한 이해와 사용경험
우대사항","
• AWS, GCP, NCP 등의 클라우드 컴퓨팅 서비스 사용 경험
• 빌드/테스트/배포 자동화 경험
• 결제 모듈을 사용한 결제 관리시스템 개발 경험
• 자연어 처리 챗봇모듈 사용 및 개발 경험
• 스타트업 경험 있으신 분
• 비 개발자 직군과 원활히 소통하는 능력
• 새로운 기술에 관심이 많고, 자기 개발을 위해 노력하시는 분
• 생산성 향상을 위한 개발 방법론 관한 실험적 사고
혜택 및 복지
- 쾌적하고 자유로운 ""초"" 역세권 근무환경 (홍대역 1분 거리)
- 오전 9시 - 10시 30분 사이 자율 출퇴근 제도 (7.5시간 근무)
- 충분한 점심휴식 시간 (1시간 30분)
- 아침마다 신선한 원두로 만드는 커피 & 간식이 준비되어 있는 스낵바

- 듀얼 모니터 + 맥북 프로 제공
- 업무 효율을 높이는 각종 툴 최대한 제공
- 허락이 필요없는 자율적 연차 사용
- 반려동물 동반출근 가능

- 업무에 도움이 된다면 자유로운 세미나 참석 및 교육비 지원
- 도서구매비 지원
- 실력있는 동료들과의 코드리뷰


[근무조건] 
- 정규직 ( fit check 3개월)"
"그래픽스 엔지니어 (Graphics Engineer), 2D/3D",쉐이커미디어(Shakr),서울.한국,"
• OpenGL을 이용한 2D/3D animation에 대한 경험이 있으신 분
• GLSL Shader를 이용한 렌더링 지식 및 경험이 있으신 분
• Linux 상에서의 C/C++ 개발 경험이 있으신 분
• R&D 경험이 있으신 분
우대사항","
• Adobe After Effects 사용 경험
• V8, Harfbuzz, FFmpeg 중 하나 이상의 라이브러리 사용 경험
• 영상 처리에 대한 높은 이해도
• 다른 역할을 가진 여러 팀과 영어 및 한국어로 능동적으로 의사소통을 할 수 있는 능력과 의지
혜택 및 복지
Shakr에서는 규칙에 구애받지 않고, 자율성에 기반한 업무 환경을 만들기 위해 다양한 지원을 하고 있습니다.

• 10시에서 11시 사이에 출근하고, 6시쯤 퇴근하는 출퇴근 제도를 운영합니다. 현재는 코로나 확산 방지를 인해 개발팀의 대부분은 완전 재택 근무를 진행하고 있습니다.
• 리모트(원격 근무)를 자유롭게 합니다. 집에 볼 일이 있어도, 카페나 다른 원하는 공간에서 기분 전환을 하고 싶어도 리모트를 할 수 있습니다.
• 쉬어야 할 때, 쉬고싶을 때 쉴 수 있는 유연한 휴가를 제공합니다.
• 업무시 사용하는 하드웨어는 생산성에 큰 영향을 주기 때문에 아끼지 않습니다. 그래픽 엔지니어의 경우 고사양 그래픽카드가 포함된 워크스테이션 노트북 혹은 이에 준하는 PC를 제공합니다.
• 개발에 도움이 되는 소프트웨어나 서비스 사용에 인색하지 않습니다. 팀원에 따라 Tower, Sketch와 같은 소프트웨어부터 Code Climate, Datadog와 같은 서비스도 적극적으로 사용합니다.
• 비슷한 일을 다루는 사람들과 교류할 수 있는 배움의 기회를 제공합니다. 지금까지 Google Cloud NEXT, RubyKaigi, NDC와 같은 여러 컨퍼런스에 능동적으로 참여하였습니다."
컴퓨터비전분야 엔지니어,라이트비전,서울.한국,"
• 학력: 석사 이상
• 전공: 공학계열
컴퓨터공학 또는 관련 전공(정보통신컴퓨터, 융합전자공학, 전자공학, 정보통신공학 등)
• 경력: 3년 이상

[필수조건]
• 위 전공분야에서 석사과정 이상 졸업
• 주어진 목표에 맞게 DCNN 구조를 변형하고 해당 DCNN 구조를 학습 시키는 업무 수행 가능한 사람
• C/C++, Python 언어에 능숙한 사람
우대사항","
• 컴퓨터 비전 관련 학회에 제1저자 혹은 교신저자로 논문 게재
• C# 언어에 능숙한 사람
• Git 사용에 능숙한 사람
• 영어 논문 및 기술자료를 읽고 분석할 수 있는 외국어 문해력을 보유한 사람
혜택 및 복지
• 혼잡한 출퇴근 시간을 피한 10시 출근 19시 퇴근
• 층별 쾌적한 휴게공간 & 회의공간
• 개성, 존중해요. 자율복장
• 2호선 성수역에서 7분거리, 뚝섬역도 7분거리
• 간식&음료 무한 제공
• 임직원 오피스텔 숙소 지원

• 대기업 투자사로 스톡옵션 지원
• 우리사주 제도 운영
• 기술연구소 보유
• 직무발명보상 제도 운영
• (청년)내일채움공제 제도 운영(연봉과 별도/ 가입 자격이 되고 희망하는 인력에게 제공)
• 직무 관련 교육 기회 제공
• 논문 발표 시 국내외 학회 참여 지원"
웹 개발자(Web Programmer),라이트비전,서울.한국,"
•학력: 대졸이상
•전공: 공학계열 – 컴퓨터공학 전공/ 관련 경력 1년이상

[필수요건]
•JavaScript(HTML, CSS 포함)를 사용가능한 사람 
•Java, Spring Framework, SQL 사용가능한 사람

우대사항","
•React를  이용한 Web 개발 경험자 
•Git을 통한 버전 관리와 Cloud 서비스 배포 경험자 
•Message Queue를 사용한 IPC 서비스 경험자
혜택 및 복지
• 혼잡한 출퇴근 시간을 피한 10시 출근 19시 퇴근
• 층별 쾌적한 휴게공간 & 회의공간
• 개성, 존중해요. 자율복장
• 2호선 성수역에서 7분거리, 뚝섬역도 7분거리
• 간식&음료 무한 제공
• 임직원 오피스텔 숙소 지원

• 대기업 투자사로 스톡옵션 지원
• 우리사주 제도 운영
• 기술연구소 보유
• 직무발명보상 제도 운영
• (청년)내일채움공제 제도 운영(연봉과 별도/ 가입 자격이 되고 희망하는 인력에게 제공)
• 직무 관련 교육 기회 제공
• 논문 발표 시 국내외 학회 참여 지원"
백엔드 개발자,라이트비전,서울.한국,"
• 학력: 대졸 이상
• 전공: 공학계열
컴퓨터공학 또는 관련 전공(정보통신컴퓨터, 융합전자공학, 전자공학, 정보통신공학 등)
• 경력: 3년 이상

[다루는 프로그래밍 언어]
• Python Django 또는 JAVA Spring

[필수조건 (아래 조건 중 최소 하나 이상 만족)]
• Django로 back-end 개발 경험 3년 이상
• Flask로 back-end 개발 경험 3년 이상
• JAVA로 back-end 개발 경험 3년 이상
우대사항","
• C/C++ 언어에 능숙한 사람
• Git 사용에 능숙한 사람
• 영어 논문 및 기술자료를 읽고 분석할 수 있는 외국어 문해력을 보유한 사람
혜택 및 복지
• 혼잡한 출퇴근 시간을 피한 10시 출근 19시 퇴근
• 층별 쾌적한 휴게공간 & 회의공간
• 개성, 존중해요. 자율복장
• 2호선 성수역에서 7분거리, 뚝섬역도 7분거리
• 간식&음료 무한 제공
• 임직원 오피스텔 숙소 지원

• 대기업 투자사로 스톡옵션 지원
• 우리사주 제도 운영
• 기술연구소 보유
• 직무발명보상 제도 운영
• (청년)내일채움공제 제도 운영(연봉과 별도/ 가입 자격이 되고 희망하는 인력에게 제공)
• 직무 관련 교육 기회 제공
• 논문 발표 시 국내외 학회 참여 지원"
백엔드 개발자,에이치엠인터내셔날,서울.한국,"
• 3년 이상의 백엔드 시스템 개발 경험이 있으시거나 이에 준한 역량을 갖추신 분 
• Python 프레임워크 (Django, Flask 등) 개발 경험이 있으신 분
• RESTful API 설계 및 개발/운영 경험이 있으신 분
우대사항","
• 관계형 데이터베이스 및 ORM의 이해 및 업무 활용 경험
• e-커머스 / 오픈마켓 / 풀필먼트 개발 경력 우대
• Git 등 분산 버전 관리 시스템에 익숙하고 코드 리뷰를 활발히 해본 분
• MSA 환경에서의 개발 경험이 있거나, 관심이 많으신 분
• AWS, Azure 등과 같은 Cloud Service 경험자
  (AWS Pinpoint, AWS SES등의 연동경험)
• Docker와 Kubernetes를 활용한 서비스 개발 경험이 있으신 분
• Vue.js 또는 React 개발 경험
• 타 부서 (비 개발자)와의 소통이 원활하신 분
• 능동적이며 호기심이 많고, 비즈니스 마인드를 가지신 분
• 업무 프로세스 및 개발 문화 개선에 관심이 많은 분
혜택 및 복지
복리 및 혜택(직원의 행복을 추구하는 WORK & BALANCE!)

• 매달 10만원 고정인센티브 지급(메리츠 투자 지원금)
• 매달 1만원 커피구입비 지원(메리츠 투자 지원금)
• 매달 1회 2시간 조기퇴근! (당신의 특별한 하루를 위해) 
• 사내근로복지기금을 통한 경조금 및 경조휴가 지급 
  (결혼, 출산, 회갑, 부모님 칠순 및 팔순까지)
• 성과공유제(이익배당금 12.5%) 운영
• 유치원 자녀 학비 지원(자녀 제한 없음)
• 종합건강검진 지원(KMI을 통해 20만원 이상의 검진 비용 지원)
• 도서구입비 지원
• 간식 주번 제도 운영(원하는 스낵 및 음료를 직접 구매가능)
• 우수사원 포상, 장기근속포상
• 동호회 활동을 위한 분기별 지원금 지급"
프론트엔드 개발자,아비즈,경기.한국,"
• ASP, ASP.NET 개발 능숙자 
• HTML/Javascript/JQuery/Json 개발 가능자
우대사항","
• C# 가능자 우대 
• 웹에이전시 경력 3년이상 우대
• Linux 능숙자 우대
• 버전관리 툴(TortoiseSVN) 사용자 우대
• AWS 경험자 우대
• 유관업무 경력자 (3년 이상)
• 장기근무 가능자
혜택 및 복지
• 자율출퇴근: 8:30 / 9:00 / 9:30 선택
• HP 최신 데스크톱과 노트북 선택 가능 + 27인치 듀얼 모니터 등 원하는 장비 지원"
IOS개발,휴머스온,서울.한국,"
• IOS 개발 경력 3년 이상
• IOS(Objective C, Swift) 개발 활용 능력
• 전산학 전반에 대한 기본 지식
우대사항","
• IOS 플랫폼 및 프레임워크 지식 보유자 우대
• Rest API 경력자 우대
• Java 백엔드, 파이썬 개발 경험 우대
혜택 및 복지
＜업무에만 집중 할 수 있는 근무환경을 만들고자 노력합니다＞
 * 선릉역 3번출구 도보 5초 거리에 위치
 * CAFE HUMUS 운영_커피, 음료 제공
 * 아침(김밥, 빵), 간식(컵라면, 음료수 등) 제공

＜개인의 성장을 지원하고 회사의 성장을 생각합니다＞
 * 온라인/오프라인 교육 지원
 * 세미나 참석지원
 * 도서 구입비 지원

＜업무 효율을 위해서 쉬는 것도 중요합니다＞
 * 자유로운 연차사용
 * Refresh 휴가 및 지원금 지급 (5년,10년)
 * 징검다리연휴 전사 휴무
 * 결혼기념일 조기퇴근
 * 콘도이용 지원

＜더 다양한 복지를 위해 고민하고 있습니다＞
 * 사내 대출 제도 운영
 * 명절 상여금/선물 지급
 * 생일선물(상품권) 지급
 * 경조사 지원(경조휴가 및 경조비 등)"
